n 	a[Pa] 	b 	ph[hPa] 	pf[hPa]

0 	0.000000 	0.000000 	0.0000 	0.
1 	2.000365 	0.000000 	0.0200 	0.0100
2 	3.102241 	0.000000 	0.0310 	0.0255
3 	4.666084 	0.000000 	0.0467 	0.0388
4 	6.827977 	0.000000 	0.0683 	0.0575
5 	9.746966 	0.000000 	0.0975 	0.0829
6 	13.605424 	0.000000 	0.1361 	0.1168
7 	18.608931 	0.000000 	0.1861 	0.1611
8 	24.985718 	0.000000 	0.2499 	0.2180
9 	32.985710 	0.000000 	0.3299 	0.2899
10 	42.879242 	0.000000 	0.4288 	0.3793
11 	54.955463 	0.000000 	0.5496 	0.4892
12 	69.520576 	0.000000 	0.6952 	0.6224
13 	86.895882 	0.000000 	0.8690 	0.7821
14 	107.415741 	0.000000 	1.0742 	0.9716
15 	131.425507 	0.000000 	1.3143 	1.1942
16 	159.279404 	0.000000 	1.5928 	1.4535
17 	191.338562 	0.000000 	1.9134 	1.7531
18 	227.968948 	0.000000 	2.2797 	2.0965
19 	269.539581 	0.000000 	2.6954 	2.4875
20 	316.420746 	0.000000 	3.1642 	2.9298
21 	368.982361 	0.000000 	3.6898 	3.4270
22 	427.592499 	0.000000 	4.2759 	3.9829
23 	492.616028 	0.000000 	4.9262 	4.6010
24 	564.413452 	0.000000 	5.6441 	5.2851
25 	643.339905 	0.000000 	6.4334 	6.0388
26 	729.744141 	0.000000 	7.2974 	6.8654
27 	823.967834 	0.000000 	8.2397 	7.7686
28 	926.344910 	0.000000 	9.2634 	8.7516
29 	1037.201172 	0.000000 	10.3720 	9.8177
30 	1156.853638 	0.000000 	11.5685 	10.9703
31 	1285.610352 	0.000000 	12.8561 	12.2123
32 	1423.770142 	0.000000 	14.2377 	13.5469
33 	1571.622925 	0.000000 	15.7162 	14.9770
34 	1729.448975 	0.000000 	17.2945 	16.5054
35 	1897.519287 	0.000000 	18.9752 	18.1348
36 	2076.095947 	0.000000 	20.7610 	19.8681
37 	2265.431641 	0.000000 	22.6543 	21.7076
38 	2465.770508 	0.000000 	24.6577 	23.6560
39 	2677.348145 	0.000000 	26.7735 	25.7156
40 	2900.391357 	0.000000 	29.0039 	27.8887
41 	3135.119385 	0.000000 	31.3512 	30.1776
42 	3381.743652 	0.000000 	33.8174 	32.5843
43 	3640.468262 	0.000000 	36.4047 	35.1111
44 	3911.490479 	0.000000 	39.1149 	37.7598
45 	4194.930664 	0.000000 	41.9493 	40.5321
46 	4490.817383 	0.000000 	44.9082 	43.4287
47 	4799.149414 	0.000000 	47.9915 	46.4498
48 	5119.895020 	0.000000 	51.1990 	49.5952
49 	5452.990723 	0.000000 	54.5299 	52.8644
50 	5798.344727 	0.000000 	57.9834 	56.2567
51 	6156.074219 	0.000000 	61.5607 	59.7721
52 	6526.946777 	0.000000 	65.2695 	63.4151
53 	6911.870605 	0.000000 	69.1187 	67.1941
54 	7311.869141 	0.000000 	73.1187 	71.1187
55 	7727.412109 	0.000007 	77.2810 	75.1999
56 	8159.354004 	0.000024 	81.6182 	79.4496
57 	8608.525391 	0.000059 	86.1450 	83.8816
58 	9076.400391 	0.000112 	90.8774 	88.5112
59 	9562.682617 	0.000199 	95.8280 	93.3527
60 	10065.978516 	0.000340 	101.0047 	98.4164
61 	10584.631836 	0.000562 	106.4153 	103.7100
62 	11116.662109 	0.000890 	112.0681 	109.2417
63 	11660.067383 	0.001353 	117.9714 	115.0198
64 	12211.547852 	0.001992 	124.1337 	121.0526
65 	12766.873047 	0.002857 	130.5637 	127.3487
66 	13324.668945 	0.003971 	137.2703 	133.9170
67 	13881.331055 	0.005378 	144.2624 	140.7663
68 	14432.139648 	0.007133 	151.5493 	147.9058
69 	14975.615234 	0.009261 	159.1403 	155.3448
70 	15508.256836 	0.011806 	167.0450 	163.0927
71 	16026.115234 	0.014816 	175.2731 	171.1591
72 	16527.322266 	0.018318 	183.8344 	179.5537
73 	17008.789062 	0.022355 	192.7389 	188.2867
74 	17467.613281 	0.026964 	201.9969 	197.3679
75 	17901.621094 	0.032176 	211.6186 	206.8078
76 	18308.433594 	0.038026 	221.6146 	216.6166
77 	18685.718750 	0.044548 	231.9954 	226.8050
78 	19031.289062 	0.051773 	242.7719 	237.3837
79 	19343.511719 	0.059728 	253.9549 	248.3634
80 	19620.042969 	0.068448 	265.5556 	259.7553
81 	19859.390625 	0.077958 	277.5852 	271.5704
82 	20059.931641 	0.088286 	290.0548 	283.8200
83 	20219.664062 	0.099462 	302.9762 	296.5155
84 	20337.863281 	0.111505 	316.3607 	309.6684
85 	20412.308594 	0.124448 	330.2202 	323.2904
86 	20442.078125 	0.138313 	344.5663 	337.3932
87 	20425.718750 	0.153125 	359.4111 	351.9887
88 	20361.816406 	0.168910 	374.7666 	367.0889
89 	20249.511719 	0.185689 	390.6450 	382.7058
90 	20087.085938 	0.203491 	407.0583 	398.8516
91 	19874.025391 	0.222333 	424.0190 	415.5387
92 	19608.572266 	0.242244 	441.5395 	432.7792
93 	19290.226562 	0.263242 	459.6321 	450.5858
94 	18917.460938 	0.285354 	478.3096 	468.9708
95 	18489.707031 	0.308598 	497.5845 	487.9470
96 	18006.925781 	0.332939 	517.4198 	507.5021
97 	17471.839844 	0.358254 	537.7195 	527.5696
98 	16888.687500 	0.384363 	558.3430 	548.0312
99 	16262.046875 	0.411125 	579.1926 	568.7678
100 	15596.695312 	0.438391 	600.1668 	589.6797
101 	14898.453125 	0.466003 	621.1624 	610.6646
102 	14173.324219 	0.493800 	642.0764 	631.6194
103 	13427.769531 	0.521619 	662.8084 	652.4424
104 	12668.257812 	0.549301 	683.2620 	673.0352
105 	11901.339844 	0.576692 	703.3467 	693.3043
106 	11133.304688 	0.603648 	722.9795 	713.1631
107 	10370.175781 	0.630036 	742.0856 	732.5325
108 	9617.515625 	0.655736 	760.5996 	751.3426
109 	8880.453125 	0.680643 	778.4661 	769.5329
110 	8163.375000 	0.704669 	795.6396 	787.0528
111 	7470.343750 	0.727739 	812.0847 	803.8622
112 	6804.421875 	0.749797 	827.7756 	819.9302
113 	6168.531250 	0.770798 	842.6959 	835.2358
114 	5564.382812 	0.790717 	856.8376 	849.7668
115 	4993.796875 	0.809536 	870.2004 	863.5190
116 	4457.375000 	0.827256 	882.7910 	876.4957
117 	3955.960938 	0.843881 	894.6222 	888.7066
118 	3489.234375 	0.859432 	905.7116 	900.1669
119 	3057.265625 	0.873929 	916.0815 	910.8965
120 	2659.140625 	0.887408 	925.7571 	920.9193
121 	2294.242188 	0.899900 	934.7666 	930.2618
122 	1961.500000 	0.911448 	943.1399 	938.9532
123 	1659.476562 	0.922096 	950.9082 	947.0240
124 	1387.546875 	0.931881 	958.1037 	954.5059
125 	1143.250000 	0.940860 	964.7584 	961.4311
126 	926.507812 	0.949064 	970.9046 	967.8315
127 	734.992188 	0.956550 	976.5737 	973.7392
128 	568.062500 	0.963352 	981.7968 	979.1852
129 	424.414062 	0.969513 	986.6036 	984.2002
130 	302.476562 	0.975078 	991.0230 	988.8133
131 	202.484375 	0.980072 	995.0824 	993.0527
132 	122.101562 	0.984542 	998.8081 	996.9452
133 	62.781250 	0.988500 	1002.2250 	1000.5165
134 	22.835938 	0.991984 	1005.3562 	1003.7906
135 	3.757813 	0.995003 	1008.2239 	1006.7900
136 	0.000000 	0.997630 	1010.8487 	1009.5363
137 	0.000000 	1.000000 	1013.2500 	1012.0494
